cell_name,donor_short_id,donor_long_id,study_accession,sample_accession,ENA_Accession
25475_8#109,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677159,ERR2980761
25475_8#11,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677061,ERR2980663
25475_8#110,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677160,ERR2980762
25475_8#111,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677161,ERR2980763
25475_8#112,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677162,ERR2980764
25475_8#113,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677163,ERR2980765
25475_8#114,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677164,ERR2980766
25475_8#115,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677165,ERR2980767
25475_8#116,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677166,ERR2980768
25475_8#117,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677167,ERR2980769
25475_8#118,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677168,ERR2980770
25475_8#119,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677169,ERR2980771
25475_8#12,uilk_3,HPSI0614i-uilk_3,PRJEB14362,SAMEA104677062,ERR2980664
25475_8#124,uilk_3,HPSI0614i-uilk_3,PRJEB14362,SAMEA104677174,ERR2980776
25475_8#125,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677175,ERR2980777
25475_8#126,uilk_3,HPSI0614i-uilk_3,PRJEB14362,SAMEA104677176,ERR2980778
25475_8#127,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677177,ERR2980779
25475_8#128,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677178,ERR2980780
25475_8#129,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677179,ERR2980781
25475_8#130,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677180,ERR2980782
25475_8#131,toco_5,HPSI0514i-toco_5,PRJEB14362,SAMEA104677181,ERR2980783
